epoch,diceAccuracy,jaccardDistance,loss,val_diceAccuracy,val_jaccardDistance,val_loss
0,0.721568763256073,4.186065673828125,13.426273345947266,0.8295437097549438,2.8555219173431396,13.260765075683594
1,0.9059054255485535,1.7008017301559448,13.120394706726074,0.8021065592765808,3.193007469177246,13.12896728515625
2,0.9193018078804016,1.4806609153747559,12.95648193359375,0.8004319071769714,3.2037127017974854,12.976208686828613
3,0.9225437045097351,1.4259921312332153,12.800647735595703,0.8056760430335999,3.1248631477355957,12.817719459533691
4,0.9247722625732422,1.3884412050247192,12.645684242248535,0.8397152423858643,2.655768871307373,12.635883331298828
5,0.9263885617256165,1.3609851598739624,12.491572380065918,0.8496111035346985,2.510972023010254,12.474555015563965
6,0.927605926990509,1.3399834632873535,12.338054656982422,0.8651133179664612,2.290648937225342,12.309538841247559
7,0.9285087585449219,1.3243722915649414,12.185298919677734,0.8712737560272217,2.1954123973846436,12.152424812316895
8,0.9294525384902954,1.308214783668518,12.033123970031738,0.8847094774246216,1.9970253705978394,11.990516662597656
9,0.9301425814628601,1.2962864637374878,11.8818359375,0.8894747495651245,1.924837350845337,11.836084365844727
10,0.93083256483078,1.2842813730239868,11.731258392333984,0.9027139544487,1.7264697551727295,11.676102638244629
11,0.9313610792160034,1.275131106376648,11.581576347351074,0.9097577333450317,1.6190927028656006,11.521783828735352
12,0.9319528937339783,1.2649155855178833,11.432613372802734,0.9149117469787598,1.538426399230957,11.369904518127441
13,0.9322801828384399,1.2592188119888306,11.284730911254883,0.915300726890564,1.5310405492782593,11.222249984741211
14,0.9327179789543152,1.2516257762908936,11.137521743774414,0.9187901020050049,1.475013256072998,11.073175430297852
15,0.9332292675971985,1.2426660060882568,10.991220474243164,0.921051025390625,1.438555121421814,10.925989151000977
16,0.9334070682525635,1.2396085262298584,10.84593677520752,0.9244301915168762,1.3859537839889526,10.778875350952148
17,0.9338399767875671,1.2321163415908813,10.701428413391113,0.9252189993858337,1.3732807636260986,10.634635925292969
18,0.9341403841972351,1.226887583732605,10.557947158813477,0.9268620014190674,1.3475629091262817,10.490461349487305
19,0.9344233870506287,1.221831202507019,10.415372848510742,0.9253385663032532,1.3714913129806519,10.349721908569336
20,0.9346535205841064,1.2179607152938843,10.27387523651123,0.9268366098403931,1.347292423248291,10.207715034484863
21,0.9350192546844482,1.2115223407745361,10.133185386657715,0.9285364747047424,1.3201020956039429,10.06655216217041
22,0.9352877140045166,1.206852912902832,9.993477821350098,0.9271679520606995,1.3415638208389282,9.928688049316406
23,0.935487687587738,1.2033289670944214,9.854775428771973,0.9291282296180725,1.3102482557296753,9.789044380187988
24,0.9356111884117126,1.2010939121246338,9.717026710510254,0.9283734560012817,1.3226449489593506,9.652528762817383
25,0.9357721209526062,1.1983238458633423,9.580252647399902,0.9298262000083923,1.2987611293792725,9.515347480773926
26,0.9359649419784546,1.1949931383132935,9.444401741027832,0.9303169250488281,1.2908360958099365,9.37989616394043
27,0.9362021684646606,1.19083833694458,9.30942440032959,0.9306141138076782,1.2858554124832153,9.245564460754395
28,0.9363238215446472,1.1886560916900635,9.17551040649414,0.9301924705505371,1.2927218675613403,9.112333297729492
